0,1,2,3
16960.0,16960.0,16960.0,16960.0
6971.478652375725,7438.779293537915,6701.5638584977505,7914.7551655355355
5090.003957751351,4518.768635651786,4158.3301740236575,5341.354299297434
3766.660096715412,3684.4733300584658,2543.03869607523,4499.576590505889
3348.999519964443,3171.9455660446865,2003.7720697442523,4177.914517620404
2705.193113266624,2526.543409658588,1076.1765123588277,3426.13404716299
2150.8664517615143,2282.6587556770864,959.8751592087694,3095.6977618258443
1769.8481606500818,2040.6845867437078,758.1552619427836,2659.6474666577315
1666.7203512049991,1634.5703078882316,582.0885021639841,2267.8083161887375
1432.7385506535095,1439.6367201849293,537.7398111921059,2224.4322231615306
1219.4259008074434,1293.7138264217322,467.0931707040291,1559.5827817960233
1113.539255830926,1229.7857574632126,466.96664340844944,1373.5633863625242
1068.1451375797637,1156.7495845971903,264.7149701481558,1354.8336643062985
1025.352474108677,1128.4920995477378,264.30922378239,1294.7488841478817
961.6769047667854,951.7818706449306,256.06851481182304,1276.992835218183
930.8790238259427,933.774990437701,255.95931681588823,1202.6904378622019
640.4757461771338,930.6262196511885,252.83531469868794,970.457229797992
583.0372551804546,918.0588332618904,252.72534190269783,948.4669213362291
539.2710043502044,874.699346009791,252.40251370597528,941.744569275563
325.8660771828192,855.864786594313,201.0072542211641,840.6870675702908
303.65830972469024,840.3812160313798,200.9808691059126,722.4358812571413
261.26700291856247,808.1725512042317,197.6988782077409,708.691234617923
259.22817676811707,749.2402611958851,187.31194090962137,689.2076120074038
256.9759744791964,724.0097149467234,186.95871512057406,684.0157248082062
233.9800832355826,718.7401312702782,186.9392667902292,681.1393139776827
229.87930578022923,711.1801543930851,186.90768626260794,668.8600040741708
215.50728121522118,684.6705403701187,186.22525449965212,665.5869345912569
206.57608779278027,567.0269602677213,157.23494701595874,660.8553303747543
205.1374774932699,536.7459285493378,157.23005077857562,654.5662231604015
198.6912607641764,523.6539220505213,156.98466559520617,647.589102560332
197.15435337627773,514.4194221434265,156.9744478899565,645.6407720626449
